Abfluss Abfluﬂ
Abschluss Abschluﬂ
Adressbuch Adreﬂbuch
Anlass Anlaﬂ
anl‰sslich anl‰ﬂlich
Anschluss Anschluﬂ
aufschlussreich aufschluﬂreich
aufwendig aufw‰ndig
Ausschluss Ausschluﬂ
Beschluss Beschluﬂ
Bestellliste Bestelliste
Betttuch Bettuch
bewusst bewuﬂt
Bibliographie Bibliografie
Biografie Biographie
bisschen biﬂchen
blass blaﬂ
Bˆrsentipp Bˆrsentip
Bouquet Bukett
Boutique Butike
Brennnessel Brennessel
Club Klub
Coffein Koffein
Coupon Kupon
Creme Krem
Demographie Demografie
deplatziert deplaziert
Differenzial Differential
Discothek Diskothek
Doppelpass Doppelpaﬂ
Einfluss Einfluﬂ
Eisschnelllauf Eisschnellauf
Entschluss Entschluﬂ
erfassbar erfaﬂbar
erstplatziert erstplaziert
existenziell existentiell
Fantasie Phantasie
Fitnessstudio Fitneﬂstudio
Fresssucht Freﬂsucht
Fuﬂballl‰nderspiel Fuﬂball‰nderspiel
Geschoss Geschoﬂ
Gewissheit Gewiﬂheit
Grafit Graphit
h‰sslich h‰ﬂlich
Imbiss Imbiﬂ
Imbissstand Imbiﬂstand
Interesse Interresse
Joghurt Jogurt
K‰nguru K‰nguruh
Karamell Karamel
Kennnummer Kennummer
Ketchup Ketschup
Kompass Kompaﬂ
Kompromiss Kompromiﬂ
Kongresssaal Kongreﬂsaal
Kongressstadt Kongreﬂstadt
Kontrolllampe Kontrollampe
Kontrollliste Kontrolliste
Kuss Kuﬂ
l‰sst l‰ﬂt
Megafon Megaphon
Messstab Meﬂstab
Metalllegierung Metallegierung
Mikrofon Mikrophon
Missbrauch Miﬂbrauch
muss muﬂ
nass naﬂ
Nougat Nugat
Nulllˆsung Nullˆsung
nummerieren numerieren
Nuss Nuﬂ
Orthografie Orthographie
Panter Panther
Paragraf Paragraph
Pass Paﬂ
Passstraﬂe Paﬂstraﬂe
Photo Foto
Photos Fotos
Photosynthese Fotosynthese
Platzierung Plazierung
Portemonnaie Portmonee
Potenzial Potential
programmm‰ﬂig programm‰ﬂig
Prozess Prozeﬂ
Qu‰ntchen Quentchen
rau rauh
Riss Riﬂ
Rollladen Rolladen
Russland Ruﬂland
Saxofon Saxophon
Schifffahrt Schiffahrt
Schloss Schloﬂ
Schluss Schluﬂ
Schnelllauf Schnellauf
schnelllebig schnellebig
selbstst‰ndig selbst‰ndig
Ski Schi
Spaghetti Spagetti
Sperrriegel Sperriegel
St‰ngel Stengel
Stewardess Stewardeﬂ
stilllegen stillegen
Stilllegung Stillegung
Stofffetzen Stoffetzen
Stopp Stop
Stresssituation Streﬂsituation
substanziell substantiell
Telefon Telephon
Tipp Tip
Tollpatsch Tolpatsch
Tunfisch Thunfisch
‹berfluss ‹berfluﬂ
Windows Win
Yacht Jacht
zeitaufwendig zeitaufw‰ndig
